ISOAlpha2;CommodityName;UnitFactor;Concentration;ConcComment;UsedFactor;UsedComment
AM;Amber;0;NULL;NULL;0.001;0
AM;Barite;0.001;1;NULL;0.001;0
AM;"Borate minerals";0;NULL;NULL;0.001;0
AM;Diatomite;0;NULL;NULL;0.001;0
AM;Fluorspar;0;NULL;NULL;0.001;"intead of forming sand"
AM;"Graphite, natural";0;NULL;NULL;0.001;0
AM;"Iron ore for pigments";0;NULL;NULL;0.001;0
AM;Magnesite;0;NULL;NULL;0.001;0
AM;Mica;0;NULL;NULL;0.001;0
AM;"Ochre and pigment earths";0;NULL;NULL;0.001;0
AM;"Pegmatite sand";0;NULL;NULL;0.001;0
AM;"Phosphate rock (natural phosphates)";0;NULL;NULL;0.001;P2O5
AM;Potash;0;NULL;NULL;0.001;K2O
AM;"Qartz and quartzite";0;NULL;NULL;0.001;0
AM;"Strontium minerals";0;NULL;NULL;0.001;0
AM;Sulphur;0;NULL;NULL;0.001;"elem. And ind. Sulfur"
AM;"Sulphur from pyrites";0;NULL;NULL;0.001;0
AM;"Sulphur as a by-product of natural gas etc.";0;NULL;NULL;0.001;0
AM;"Talc (steatite, soapstone, pyrophyllite)";0;NULL;NULL;0.001;0
AM;"Talcous slate";0;NULL;NULL;0.001;0
AM;Asbestos;0;NULL;NULL;0.001;fibre
AM;Gluesand;0;NULL;NULL;0.001;0
AM;"Gypsum and anhydrite";0.001;1;NULL;0.001;0
AM;Perlite;0.001;1;NULL;0.001;0
AM;"Marble, travertines etc.";0;NULL;NULL;0.00255;0
AM;"Turfaceous rock";0;NULL;NULL;0.001;0
AM;Asphalt;0;NULL;NULL;0.001;0
AM;"Common clay, clay for bricks etc.";0;NULL;NULL;0.001;0
AM;Loam;0;NULL;NULL;0.001;0
AM;Lavasand;0;NULL;NULL;0.001;0
AM;"Sand and gravel";0.00122;1;NULL;0.001825;0
WS;"Construction Minerals nec";0.001;1;NULL;0.001;0
AN;Cadmium;0;NULL;NULL;0.001;0
AN;Cobalt;0;NULL;NULL;0.001;0
AN;Germanium;0;NULL;NULL;0.001;0
AN;Strontium;0;NULL;NULL;0.001;0
AN;"Phosphate rock (natural phosphates)";0.001;NULL;NULL;0.001;0
AN;"Strontium minerals";0;NULL;NULL;0.001;0
AN;"Sulphur as a by-product of natural gas etc.";0.001;1;NULL;0.001;0
VU;"Construction Minerals nec";0.001;1;NULL;0.001;0
AO;"Iron ores";0;NULL;NULL;0.001;0
AO;Antimony;0;NULL;NULL;0.02;"World average content"
AO;Beryllium;0;NULL;NULL;0.001;"By-product of other ores"
AO;Feldspar;0;NULL;NULL;0.001;0
AO;Arsenic;0;NULL;NULL;0.001;0
AO;"Bauxite (Aluminium)";0;NULL;NULL;0.001;0
AO;Bismuth;0;NULL;NULL;0.001;"By-product of other ores"
AO;Cadmium;0;NULL;NULL;0.001;"By-product of other ores"
AO;Chromium;0;NULL;NULL;0.001;0
AO;Cobalt;0;NULL;NULL;0.001;"By-product of other ores"
AO;Copper;0;NULL;NULL;0.001;"By-product of other ores"
AO;Germanium;0;NULL;NULL;0.001;"By-product of other ores"
AO;Gold;0;NULL;NULL;1e-06;0
AO;Lead;0;NULL;NULL;0.001;"By-product of zinc extraction"
AO;Lithium;0;NULL;NULL;0.001;"BGS reports lithium minerals as amblygonite, lepidolite, petalite, and spodumene"
AO;Magnesium;0;NULL;NULL;0.001;0
